Fecha,Andalucía,Aragón,Asturias,Baleares,Canarias,Cantabria,Castilla La Mancha,Castilla y León,Cataluña,Ceuta,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,País Vasco,La Rioja,España
13/02/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
14/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
04/03/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
05/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
06/03/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3
07/03/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3
08/03/2020,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,14
09/03/2020,0,2,0,0,0,0,1,0,1,0,0,0,0,9,0,0,0,2,1,16
10/03/2020,0,1,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,1,26
11/03/2020,0,0,0,0,0,0,2,0,2,0,0,1,0,25,0,0,0,5,0,35
12/03/2020,0,3,1,3,0,0,1,1,5,0,0,0,0,38,0,0,0,3,0,55
13/03/2020,2,0,0,0,1,0,5,2,11,0,2,0,0,48,0,0,0,6,1,78
14/03/2020,5,1,0,0,0,0,8,5,12,0,7,0,1,62,0,0,1,2,0,104
15/03/2020,4,1,0,0,1,0,11,4,7,0,4,1,1,79,0,0,1,14,1,129
16/03/2020,5,4,0,0,1,0,12,11,19,0,4,2,1,109,0,0,1,5,2,176
17/03/2020,8,0,0,1,1,1,20,7,23,0,2,2,2,107,0,0,1,11,0,186
18/03/2020,5,3,0,0,0,1,23,13,37,0,14,2,0,114,0,0,3,19,0,234
19/03/2020,15,6,2,1,3,0,24,19,49,0,9,3,1,153,0,0,2,16,4,307
20/03/2020,14,5,3,1,3,1,38,20,63,0,19,3,5,209,0,1,5,16,12,418
