Fecha;Unidad;COD_CCAA;CCAA;Cod_Provincia;Provincia;TOTAL_CAMAS;OCUPADAS_COVID19;OCUPADAS_NO_COVID19
2020-08-19;Hospitalización convencional;08;CASTILLA LA MANCHA;02;Albacete;895;25;531
2020-08-19;U. Críticas CON respirador;05;ISLAS CANARIAS;35;Palmas, Las;213;10;87
2020-08-19;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;69;2;28
2020-08-19;U. Críticas SIN respirador;01;ANDALUCÍA;23;Jaén;65;4;6
2020-08-19;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;09;Burgos;4;0;2
2020-08-19;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;02;Albacete;29;0;18
2020-08-20;Hospitalización convencional;01;ANDALUCÍA;21;Huelva;874;7;485
2020-08-20;Hospitalización convencional;19;MELILLA;52;Melilla;165;7;71
2020-08-20;U. Críticas CON respirador;08;CASTILLA LA MANCHA;45;Toledo;66;2;29
2020-08-20;U. Críticas CON respirador;09;CATALUÑA;25;Lleida;37;18;6
2020-08-20;U. Críticas SIN respirador;06;CANTABRIA;39;Cantabria;26;1;4
2020-08-21;Hospitalización convencional;05;ISLAS CANARIAS;35;Palmas, Las;2496;69;1654
2020-08-21;Hospitalización convencional;07;CASTILLA Y LEÓN;42;Soria;191;14;140
2020-08-21;Hospitalización convencional;11;EXTREMADURA;06;Badajoz;1945;21;986
2020-08-21;U. Críticas CON respirador;02;ARAGÓN;50;Zaragoza;134;51;44
2020-08-21;U. Críticas CON respirador;12;GALICIA;27;Lugo;75;1;13
2020-08-21;U. Críticas SIN respirador;05;ISLAS CANARIAS;35;Palmas, Las;48;0;19
2020-08-22;Hospitalización convencional;01;ANDALUCÍA;21;Huelva;874;4;442
2020-08-22;Hospitalización convencional;09;CATALUÑA;43;Tarragona;2385;41;1731
2020-08-22;Hospitalización convencional;10;COMUNIDAD VALENCIANA;03;Alicante/Alacant;4097;81;2180
2020-08-22;U. Críticas CON respirador;01;ANDALUCÍA;23;Jaén;66;1;21
2020-08-22;U. Críticas CON respirador;02;ARAGÓN;22;Huesca;25;8;3
2020-08-22;U. Críticas CON respirador;09;CATALUÑA;25;Lleida;36;18;8
2020-08-22;U. Críticas CON respirador;15;NAVARRA;31;Navarra;97;8;35
2020-08-23;U. Críticas CON respirador;11;EXTREMADURA;10;Cáceres;45;3;20
2020-08-23;U. Críticas SIN respirador;05;ISLAS CANARIAS;38;Santa Cruz de Tenerife;19;0;9
2020-08-23;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;40;Segovia;4;0;0
2020-08-24;Hospitalización convencional;15;NAVARRA;31;Navarra;1597;43;907
2020-08-24;U. Críticas CON respirador;01;ANDALUCÍA;11;Cádiz;164;7;39
2020-08-24;U. Críticas CON respirador;07;CASTILLA Y LEÓN;42;Soria;16;1;6
2020-08-25;Hospitalización convencional;01;ANDALUCÍA;11;Cádiz;2392;58;1436
2020-08-25;Hospitalización convencional;07;CASTILLA Y LEÓN;40;Segovia;278;17;185
2020-08-25;Hospitalización convencional;12;GALICIA;32;Ourense;941;12;690
2020-08-25;U. Críticas CON respirador;09;CATALUÑA;43;Tarragona;95;9;31
2020-08-25;U. Críticas CON respirador;12;GALICIA;32;Ourense;51;3;9
2020-08-25;U. Críticas SIN respirador;01;ANDALUCÍA;29;Málaga;117;2;7
2020-08-25;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;19;Guadalajara;30;0;0
2020-08-25;U. Críticas SIN respirador;16;PAÍS VASCO;01;Araba/Álava;8;0;1
2020-08-26;Hospitalización convencional;09;CATALUÑA;25;Lleida;975;54;716
2020-08-26;Hospitalización convencional;09;CATALUÑA;43;Tarragona;2391;64;1715
2020-08-26;Hospitalización convencional;14;MURCIA;30;Murcia;3028;135;1762
2020-08-26;U. Críticas CON respirador;05;ISLAS CANARIAS;38;Santa Cruz de Tenerife;176;6;70
2020-08-27;Hospitalización convencional;02;ARAGÓN;44;Teruel;392;27;179
2020-08-27;Hospitalización convencional;11;EXTREMADURA;10;Cáceres;956;10;508
2020-08-27;Hospitalización convencional;12;GALICIA;32;Ourense;938;18;654
2020-08-27;Hospitalización convencional;12;GALICIA;36;Pontevedra;2211;7;1399
2020-08-27;Hospitalización convencional;18;CEUTA;51;Ceuta;155;2;50
2020-08-27;U. Críticas SIN respirador;19;MELILLA;52;Melilla;4;0;4
2020-08-28;Hospitalización convencional;07;CASTILLA Y LEÓN;34;Palencia;323;7;228
2020-08-28;U. Críticas CON respirador;01;ANDALUCÍA;18;Granada;132;3;45
2020-08-28;U. Críticas CON respirador;01;ANDALUCÍA;29;Málaga;209;16;77
2020-08-28;U. Críticas CON respirador;08;CASTILLA LA MANCHA;19;Guadalajara;18;2;4
2020-08-28;U. Críticas CON respirador;09;CATALUÑA;17;Girona;54;6;33
2020-08-28;U. Críticas CON respirador;13;MADRID;28;Madrid;893;208;338
2020-08-28;U. Críticas SIN respirador;05;ISLAS CANARIAS;35;Palmas, Las;48;0;7
2020-08-29;Hospitalización convencional;01;ANDALUCÍA;14;Córdoba;1552;55;753
2020-08-29;Hospitalización convencional;02;ARAGÓN;44;Teruel;392;27;172
2020-08-29;Hospitalización convencional;12;GALICIA;32;Ourense;939;18;579
2020-08-29;Hospitalización convencional;17;LA RIOJA;26;Rioja, La;674;36;387
2020-08-29;U. Críticas CON respirador;07;CASTILLA Y LEÓN;42;Soria;16;2;3
2020-08-29;U. Críticas SIN respirador;01;ANDALUCÍA;14;Córdoba;81;2;3
2020-08-29;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;03;Alicante/Alacant;78;1;15
2020-08-30;Hospitalización convencional;13;MADRID;28;Madrid;13835;1922;8653
2020-08-30;U. Críticas CON respirador;11;EXTREMADURA;10;Cáceres;45;6;10
2020-08-19;Hospitalización convencional;05;ISLAS CANARIAS;35;Palmas, Las;2496;59;1753
2020-08-19;Hospitalización convencional;11;EXTREMADURA;06;Badajoz;1945;30;1054
