Fecha,CCAA,Total casos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-04-09T11:10:51,Andalucía,9261,,,69.58,,,4599,,538,,652,,1193,
2020-04-09T11:10:51,Aragón,3685,,,194.73,,,1765,,261,,385,,718,
2020-04-09T11:10:51,Asturias,1737,,,87.60,,,1018,,94,,110,,340,
2020-04-09T11:10:51,Baleares,1448,,,68.55,,,751,,132,,89,,696,
2020-04-09T11:10:51,Canarias,1834,,,48.76,,,730,,140,,92,,359,
2020-04-09T11:10:51,Cantabria,1619,,,163.15,,,720,,71,,98,,214,
2020-04-09T11:10:51,Castilla La Mancha,12489,,,447.94,,,2575,,342,,1322,,1766,
2020-04-09T11:10:51,Castilla y León,10518,,,292.97,,,5523,,338,,1082,,3242,
2020-04-09T11:10:51,Cataluña,31043,,,253.43,,,20943,,2507,,3148,,13063,
2020-04-09T11:10:51,Ceuta,84,,,87.29,,,9,,4,,4,,7,
2020-04-09T11:10:51,C. Valenciana,7964,,,95.21,,,3815,,541,,767,,1772,
2020-04-09T11:10:51,Extremadura,2273,,,122.13,,,958,,99,,283,,381,
2020-04-09T11:10:51,Galicia,6758,,,179.40,,,2094,,155,,231,,910,
2020-04-09T11:10:51,Madrid,43877,,,400.86,,,12853,,1433,,5800,,21121,
2020-04-09T11:10:51,Melilla,93,,,62.44,,,40,,3,,2,,16,
2020-04-09T11:10:51,Murcia,1356,,,50.87,,,533,,87,,88,,219,
2020-04-09T11:10:51,Navarra,3575,,,330.78,,,1526,,124,,214,,462,
2020-04-09T11:10:51,País Vasco,9806,,,265.43,,,5130,,433,,689,,4514,
2020-04-09T11:10:51,La Rioja,3026,,,641.10,,,997,,69,,182,,1172,
2020-04-09T11:10:51,ESPAÑA,152446,,,204.69,,,66579,,7371,,15238,,52165,
