Fecha;Unidad;COD_CCAA;CCAA;Cod_Provincia;Provincia;TOTAL_CAMAS;OCUPADAS_COVID19;OCUPADAS_NO_COVID19;INGRESOS_COVID19;ALTAS_24h_COVID19
2020-08-01;U. Críticas CON respirador;12;GALICIA;36;Pontevedra;173;1;65;0;0
2020-08-01;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;42;Soria;0;0;0;0;0
2020-08-01;U. Críticas SIN respirador;14;MURCIA;30;Murcia;160;0;12;0;0
2020-08-02;Hospitalización convencional;04;ISLAS BALEARES;07;Balears, Illes;2879;75;1922;7;0
2020-08-02;Hospitalización convencional;12;GALICIA;32;Ourense;247;1;101;1;1
2020-08-02;Hospitalización convencional;16;PAÍS VASCO;20;Gipuzkoa;1237;22;869;0;0
2020-08-02;U. Críticas CON respirador;14;MURCIA;30;Murcia;271;13;85;11;0
2020-08-02;U. Críticas SIN respirador;04;ISLAS BALEARES;07;Balears, Illes;50;0;16;0;0
2020-08-02;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;03;Alicante/Alacant;76;2;19;1;0
2020-08-03;Hospitalización convencional;07;CASTILLA Y LEÓN;09;Burgos;857;9;546;1;1
2020-08-03;Hospitalización convencional;07;CASTILLA Y LEÓN;34;Palencia;336;1;255;0;0
2020-08-03;Hospitalización convencional;08;CASTILLA LA MANCHA;45;Toledo;1263;24;918;2;1
2020-08-03;U. Críticas CON respirador;01;ANDALUCÍA;29;Málaga;210;1;68;0;0
2020-08-03;U. Críticas CON respirador;02;ARAGÓN;44;Teruel;8;0;2;0;0
2020-08-03;U. Críticas CON respirador;04;ISLAS BALEARES;07;Balears, Illes;210;7;83;0;0
2020-08-03;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;03;Alicante/Alacant;277;9;115;1;0
2020-08-03;U. Críticas CON respirador;12;GALICIA;36;Pontevedra;173;1;63;0;0
2020-08-03;U. Críticas CON respirador;16;PAÍS VASCO;20;Gipuzkoa;85;1;43;1;1
2020-08-03;U. Críticas CON respirador;18;CEUTA;51;Ceuta;17;0;1;0;0
2020-08-03;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;34;Palencia;0;0;0;0;0
2020-08-04;Hospitalización convencional;02;ARAGÓN;44;Teruel;392;44;204;2;4
2020-08-04;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;46;Valencia/València;416;7;169;0;1
2020-08-04;U. Críticas CON respirador;14;MURCIA;30;Murcia;271;17;82;11;0
2020-08-04;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;46;Valencia/València;149;1;13;0;0
2020-08-05;Hospitalización convencional;08;CASTILLA LA MANCHA;45;Toledo;1263;13;942;2;5
2020-08-05;Hospitalización convencional;13;MADRID;28;Madrid;13365;367;9809;84;45
2020-08-05;U. Críticas CON respirador;02;ARAGÓN;44;Teruel;8;0;4;0;0
2020-08-05;U. Críticas CON respirador;09;CATALUÑA;08;Barcelona;657;71;330;3;5
2020-08-05;U. Críticas CON respirador;09;CATALUÑA;17;Girona;44;9;26;0;0
2020-08-05;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;03;Alicante/Alacant;276;9;104;2;0
2020-08-05;U. Críticas CON respirador;16;PAÍS VASCO;01;Araba/Álava;48;2;21;1;0
2020-08-05;U. Críticas CON respirador;17;LA RIOJA;26;Rioja, La;43;0;16;0;0
