Fecha,CCAA,Total casos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-04-24T11:26:29,Andalucía,12495,11536,959,24.08,452,12495,5675,59,714,12,1107,28,3992,145
2020-04-24T11:26:29,Aragón,5295,4867,428,78.53,0,5295,2359,19,254,1,695,14,1781,101
2020-04-24T11:26:29,Asturias,2509,2234,275,42.53,-,2509,1728,23,131,1,231,8,688,23
2020-04-24T11:26:29,Baleares,1878,1821,57,28.97,0,1878,1040,18,166,,172,4,1081,34
2020-04-24T11:26:29,Canarias,2140,2140,0,13.10,0,2140,868,13,169,0,128,7,1017,48
2020-04-24T11:26:29,Cantabria,2273,2084,189,73.14,-,2273,978,13,78,0,178,5,913,63
2020-04-24T11:26:29,Castilla La Mancha,18053,15365,2688,113.24,-,18053,8342,38,553,7,2255,67,4782,205
2020-04-24T11:26:29,Castilla y León,17776,15692,2084,191.29,-,17776,7506,109,510,2,1612,30,5943,166
2020-04-24T11:26:29,Cataluña,46571,45544,1027,178.76,-,46571,24130,483,2569,91,4393,50,16138,661
2020-04-24T11:26:29,Ceuta,125,100,25,10.62,7,125,10,1,4,0,4,0,84,8
2020-04-24T11:26:29,C. Valenciana,10906,9939,967,32.14,58,10906,4945,28,651,1,1147,23,5809,421
2020-04-24T11:26:29,Extremadura,3403,2718,685,36.15,172,3403,1413,38,108,,411,4,1358,121
2020-04-24T11:26:29,Galicia,8932,8932,-,73.57,-,8932,2707,13,87,,382,7,1730,54
2020-04-24T11:26:29,Madrid,61726,58191,3535,201.22,0,61726,6601,,949,,7765,81,34212,567
2020-04-24T11:26:29,Melilla,116,107,9,13.87,9,116,44,0,3,0,2,0,61,6
2020-04-24T11:26:29,Murcia,1741,1468,273,5.69,-,1741,625,1,105,1,125,1,791,25
2020-04-24T11:26:29,Navarra,5180,4581,599,127.33,88,5180,1915,8,129,0,417,8,1552,107
2020-04-24T11:26:29,País Vasco,13780,11881,1899,80.53,-,13780,6315,55,518,2,1193,26,8459,323
2020-04-24T11:26:29,La Rioja,4865,3790,1075,225.38,970,4865,1344,13,82,0,307,4,1964,27
2020-04-24T11:26:29,ESPAÑA,219764,202990,16774,97.75,1756,219764,78545,932,7780,118,22524,367,92355,3105
