FECHA,CCAA,CASOS,PCR+,TestAc+,Hospitalizados,UCI,Fallecidos,TotalPositivos
2020-02-20,España,0,3,0,26,0,0,3
2020-02-21,España,,3,0,30,1,0,3
2020-02-22,España,,3,0,33,1,0,3
2020-02-23,España,,3,0,38,2,0,3
2020-02-24,España,,4,0,49,2,0,4
2020-02-25,España,,10,0,58,2,0,10
2020-02-26,España,,18,0,63,3,0,18
2020-02-27,España,,36,0,73,3,0,36
2020-02-28,España,,55,0,78,3,0,55
2020-02-29,España,,83,0,85,4,0,83
2020-03-01,España,,138,0,88,4,0,138
2020-03-02,España,,195,0,94,4,0,195
2020-03-03,España,,269,0,106,6,0,269
2020-03-04,España,,351,0,118,7,0,351
2020-03-05,España,,533,0,134,9,0,533
2020-03-06,España,,768,0,142,9,0,768
2020-03-07,España,,1100,0,150,10,0,1100
2020-03-08,España,,1535,0,197,94,28,1535
2020-03-09,España,,2302,0,244,159,35,2302
2020-03-10,España,,3279,0,1114,246,48,3279
2020-03-11,España,,4433,0,1589,325,85,4433
2020-03-12,España,,5955,0,2280,422,124,5955
2020-03-13,España,,7646,0,2897,525,144,7646
2020-03-14,España,,9786,0,3740,697,296,9786
2020-03-15,España,,11488,0,4764,867,318,11488
2020-03-16,España,,14011,0,5799,1081,497,14011
2020-03-17,España,,17707,0,7183,1339,591,17707
2020-03-18,España,,21744,0,8965,1631,766,21744
2020-03-19,España,,26299,0,11252,1993,995,26299
2020-03-20,España,,31765,0,14341,2442,1349,31765
2020-03-21,España,,36633,0,17354,2730,1715,36633
2020-03-22,España,,41263,0,20640,3049,2146,41263
2020-03-23,España,,48981,0,24671,3567,2711,48981
2020-03-24,España,,57519,0,28847,4161,3307,57519
2020-03-25,España,,66492,0,33731,4534,3920,66492
2020-03-26,España,,75669,0,39397,5110,4673,75669
2020-03-27,España,,83917,0,45310,5457,5513,83917
2020-03-28,España,,90357,0,50215,5822,6223,90357
2020-03-29,España,,96154,0,54652,6065,6923,96154
2020-03-30,España,,104312,0,58068,6370,7744,104312
2020-03-31,España,,111737,0,62095,6730,8674,111737
2020-04-01,España,,119318,0,66555,7000,9546,119318
2020-04-02,España,,126610,0,70305,7295,10394,126610
2020-04-03,España,,133295,12,74075,7550,11171,133307
2020-04-04,España,,138846,13,76967,7854,11841,138859
2020-04-05,España,,142519,14,79326,7977,12469,142533
2020-04-06,España,,147732,67,81223,8180,13224,147799
2020-04-07,España,,153311,90,83224,8392,13981,153401
2020-04-08,España,,159059,141,86042,8653,14760,159200
2020-04-09,España,,163613,207,88824,8800,15407,163820
2020-04-10,España,,168167,615,90806,8915,15905,168782
2020-04-11,España,,172076,767,92844,9010,16515,172843
2020-04-12,España,,175133,870,94849,9135,17064,176003
2020-04-13,España,,178261,1086,96067,9248,17600,179347
2020-04-14,España,,182713,1349,98109,9437,18282,184062
2020-04-15,España,,186512,1948,99715,9599,18901,188460
2020-04-16,España,,190384,2816,101596,9708,19490,193200
2020-04-17,España,,194232,3928,103627,9844,20046,198160
2020-04-18,España,,193527,9794,104819,9946,20454,203321
2020-04-19,España,,195746,11191,105682,10003,20851,206937
2020-04-20,España,,198709,11895,106704,10083,21283,210604
2020-04-21,España,,201074,13335,107811,10134,21717,214409
2020-04-22,España,,204027,15160,108932,10187,22156,219187
2020-04-23,España,,206151,16563,110061,10325,22521,222714
2020-04-24,España,,208656,17947,110937,10357,22898,226603
2020-04-25,España,,210311,19095,112690,10389,23184,229406
2020-04-26,España,,211971,20019,113149,10562,23516,231990
2020-04-27,España,,213503,21481,113910,10638,23813,234984
2020-04-28,España,,214387,24069,114994,10688,24272,238456
2020-04-29,España,,215663,25990,115787,10745,24537,241653
2020-04-30,España,,216965,27883,116497,10826,24818,244848
2020-05-01,España,,218394,29122,117021,10876,25097,247516
2020-05-02,España,,219277,29773,117550,10940,25260,249050
2020-05-03,España,,219731,30306,117927,10961,25424,250037
2020-05-04,España,,220759,31242,118619,10998,25610,252001
2020-05-05,España,,221630,33362,119448,11049,25854,254992
2020-05-06,España,,222524,35408,119958,11104,26062,257932
2020-05-07,España,,223684,37260,120692,11186,26291,260944
2020-05-08,España,,224472,39205,121156,11222,26469,263677
2020-05-09,España,,225128,40273,121604,11249,26613,265401
2020-05-10,España,,228022,40707,121849,11264,26737,268729
2020-05-11,España,,228762,41490,122347,11286,26909,270252
2020-05-12,España,,229348,42404,122736,11311,27091,271752
2020-05-13,España,,229837,43106,123053,11327,27308,272943
2020-05-14,España,,230634,44170,123343,11353,27449,274804
2020-05-15,España,,231203,45797,123578,11364,27549,277000
2020-05-16,España,,231651,46369,123835,11378,27634,278020
2020-05-17,España,,231966,46582,123991,11391,27693,278548
2020-05-18,España,,232246,46766,124421,11403,27793,279012
2020-05-19,España,,232693,46969,124381,11434,27892,279662
2020-05-20,España,,233037,47080,124521,11454,27940,280117
