Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Ingreso UCI,Fallecidos
2020-02-25 14:24:24,Andalucía,0,0,0,0
2020-02-25 14:24:24,Aragón,0,0,0,0
2020-02-25 14:24:24,Asturias,0,0,0,0
2020-02-25 14:24:24,Baleares,0,0,0,0
2020-02-25 14:24:24,Canarias,0,0,0,0
2020-02-25 14:24:24,Cantabria,0,0,0,0
2020-02-25 14:24:24,Castilla-La Mancha,0,0,0,0
2020-02-25 14:24:24,Castilla y León,0,0,0,0
2020-02-25 14:24:24,Cataluña,1,0,0,0
2020-02-25 14:24:24,Ceuta,0,0,0,0
2020-02-25 14:24:24,C. Valenciana,1,0,0,0
2020-02-25 14:24:24,Extremadura,0,0,0,0
2020-02-25 14:24:24,Galicia,0,0,0,0
2020-02-25 14:24:24,Madrid,2,0,0,0
2020-02-25 14:24:24,Melilla,0,0,0,0
2020-02-25 14:24:24,Murcia,0,0,0,0
2020-02-25 14:24:24,Navarra,0,0,0,0
2020-02-25 14:24:24,País Vasco,0,0,0,0
2020-02-25 14:24:24,La Rioja,0,0,0,0
2020-02-25 14:24:24,Total,4,0,0,0
