Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Ingreso UCI,Fallecidos,Curados
2020-03-11 14:01:45,Andalucía,90,1.07,3,0,
2020-03-11 14:01:45,Aragón,45,3.41,3,4,
2020-03-11 14:01:45,Asturias,32,3.13,2,0,
2020-03-11 14:01:45,Baleares,16,1.39,1,0,
2020-03-11 14:01:45,Canarias,37,1.49,1,0,
2020-03-11 14:01:45,Cantabria,12,2.07,0,0,
2020-03-11 14:01:45,Castilla-La Mancha,71,3.49,5,0,
2020-03-11 14:01:45,Castilla y León,71,2.96,2,0,
2020-03-11 14:01:45,Cataluña,156,2.02,0,3,
2020-03-11 14:01:45,Ceuta,0,0.00,0,0,
2020-03-11 14:01:45,C. Valenciana,65,1.28,1,1,
2020-03-11 14:01:45,Extremadura,9,0.84,1,0,
2020-03-11 14:01:45,Galicia,39,1.44,2,0,
2020-03-11 14:01:45,Madrid,1024,15.34,102,31,
2020-03-11 14:01:45,Melilla,0,0.00,0,0,
2020-03-11 14:01:45,Murcia,11,0.74,0,0,
2020-03-11 14:01:45,Navarra,46,7.03,3,0,
2020-03-11 14:01:45,País Vasco,225,10.19,15,6,
2020-03-11 14:01:45,La Rioja,179,56.50,1,2,
2020-03-11 14:01:45,Total,2128,4.55,142,47,183
