Fecha,CCAA,Total casos,Nuevos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-03-20T12:58:49,Andalucía,1287,,,,15.05,,,,,38,,30,,,
2020-03-20T12:58:49,Aragón,360,,,,26.83,,,,,28,,17,,,
2020-03-20T12:58:49,Asturias,344,,,,33.14,,,,,7,,2,,,
2020-03-20T12:58:49,Baleares,203,,,,17.14,,,,,10,,2,,,
2020-03-20T12:58:49,Canarias,287,,,,12.82,,,,,25,,4,,,
2020-03-20T12:58:49,Cantabria,144,,,,23.06,,,,,7,,1,,,
2020-03-20T12:58:49,Castilla-La Mancha,1044,,,,50.62,,,,,37,,62,,,
2020-03-20T12:58:49,Castilla y León,1147,,,,47.22,,,,,69,,43,,,
2020-03-20T12:58:49,Cataluña,3270,,,,42.29,,,,,33,,82,,,
2020-03-20T12:58:49,Ceuta,5,,,,5.90,,,,,0,,0,,,
2020-03-20T12:58:49,C. Valenciana,1105,,,,21.48,,,,,71,,33,,,
2020-03-20T12:58:49,Extremadura,297,,,,27.25,,,,,4,,10,,,
2020-03-20T12:58:49,Galicia,578,,,,21.30,,,,,19,,5,,,
2020-03-20T12:58:49,Madrid,7165,,,,105.47,,,,,678,,628,,,
2020-03-20T12:58:49,Melilla,24,,,,27.75,,,,,1,,0,,,
2020-03-20T12:58:49,Murcia,204,,,,13.66,,,,,11,,0,,,
2020-03-20T12:58:49,Navarra,554,,,,84.22,,,,,19,,5,,,
2020-03-20T12:58:49,País Vasco,1465,,,,64.32,,,,,53,,71,,,
2020-03-20T12:58:49,La Rioja,497,,,,147.73,,,,,15,,7,,,
2020-03-20T12:58:49,ESPAÑA,19980,,,,41.71,,,,,1141,,1002,,1585,
