Fecha,CCAA,Total casos,Incidencia Acumulada últimos 14 días,Hospitalizados,Ingreso UCI,Fallecidos,Curados,Nuevos
2020-04-14T11:14:00,Andalucía,10192,51,98,5054,631,836,2032,5
2020-04-14T11:14:00,Aragón,4245,149,55,1966,280,492,963,58
2020-04-14T11:14:00,Asturias,2051,79,68,1330,111,156,458,93
2020-04-14T11:14:00,Baleares,1571,43,67,826,145,118,871,21
2020-04-14T11:14:00,Canarias,1958,32,32,771,147,102,589,14
2020-04-14T11:14:00,Cantabria,1796,107,56,853,76,120,323,19
2020-04-14T11:14:00,Castilla La Mancha,14329,388,86,7830,486,1714,2943,275
2020-04-14T11:14:00,Castilla y León,13180,290,43,6175,308,1299,4266,552
2020-04-14T11:14:00,Cataluña,35197,213,99,23126,2775,3666,15967,471
2020-04-14T11:14:00,Ceuta,96,73,13,9,4,4,22,1
2020-04-14T11:14:00,C. Valenciana,9213,74,04,4397,581,907,3069,153
2020-04-14T11:14:00,Extremadura,2684,98,9,1114,108,334,578,26
2020-04-14T11:14:00,Galicia,7597,131,8,2403,133,290,1240,103
2020-04-14T11:14:00,Madrid,48048,308,24,10753,1299,6568,26247,902
2020-04-14T11:14:00,Melilla,101,54,34,43,3,2,18,0
2020-04-14T11:14:00,Murcia,1487,34,34,566,96,106,476,24
2020-04-14T11:14:00,Navarra,4150,282,02,1705,124,249,730,58
2020-04-14T11:14:00,País Vasco,11226,222,21,5679,470,859,5193,208
2020-04-14T11:14:00,La Rioja,3420,508,21,1152,74,234,1519,62
2020-04-14T11:14:00,ESPAÑA,172541,166.13,75752,7851,18056,67504,3045
