Fecha,CCAA,Total casos,Nuevos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-04-21T10:47:30,Andalucía,11447,124,11139,308,31.85,242,11689,5509,36,692,2,1017,4,3411,182
2020-04-21T10:47:30,Aragón,4938,52,4684,254,112.86,,4938,2271,27,250,2,643,6,1182,4
2020-04-21T10:47:30,Asturias,2365,17,2192,173,67.07,,2365,1626,27,122,0,202,2,616,17
2020-04-21T10:47:30,Baleares,1808,20,1767,41,38.19,,1808,986,23,161,0,161,4,1005,0
2020-04-21T10:47:30,Canarias,2085,18,2085,0,16.72,,2085,837,11,164,1,120,1,878,65
2020-04-21T10:47:30,Cantabria,2123,40,1998,125,107.04,,2123,948,14,78,0,165,7,646,20
2020-04-21T10:47:30,Castilla La Mancha,17045,249,14936,2109,293.58,,17045,8199,26,534,3,2075,54,4242,64
2020-04-21T10:47:30,Castilla y León,16259,402,14951,1308,278.30,,16259,7174,94,503,2,1521,28,5429,63
2020-04-21T10:47:30,Cataluña,43112,1436,43112,0,192.69,,43112,22796,421,2437,28,4152,143,14446,512
2020-04-21T10:47:30,Ceuta,111,0,101,10,33.03,4,115,9,0,4,0,4,0,73,,
2020-04-21T10:47:30,C. Valenciana,10084,66,9750,334,52.78,315,10399,4866,39,648,2,1089,10,4719,90
2020-04-21T10:47:30,Extremadura,3196,10,2692,478,101.15,73,3269,1327,21,112,0,397,8,921,63
2020-04-21T10:47:30,Galicia,8468,169,8468,0,79.16,,8468,2652,43,101,,360,8,1588,40
2020-04-21T10:47:30,Madrid,57997,1034,55325,2672,263.05,,57997,7930,,1076,,7460,109,32277,515
2020-04-21T10:47:30,Melilla,105,1,105,0,15.03,5,110,44,0,3,0,2,0,46,0
2020-04-21T10:47:30,Murcia,1681,35,1445,236,26.64,15,1696,614,2,104,1,120,3,702,40
2020-04-21T10:47:30,Navarra,4781,84,4475,306,217.97,50,4831,1877,21,128,0,397,12,1190,67
2020-04-21T10:47:30,País Vasco,12810,182,11607,1203,171.62,,12810,6141,32,507,6,1103,22,7277,153
2020-04-21T10:47:30,La Rioja,3763,29,3684,79,289.46,720,4483,1297,15,81,2,294,9,1866,33
2020-04-21T10:47:30,ESPAÑA,204178,3968,194516,9636,135.39,1424,205602,77103,852,7705,49,21282,430,82514,1928
