ccaa_iso,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida
AN,2020-05-08,0,0,0,0,0
AR,2020-05-08,0,0,0,0,0
AS,2020-05-08,0,0,0,0,0
CB,2020-05-08,0,0,0,0,0
CE,2020-05-08,0,0,0,0,0
CL,2020-05-08,0,0,0,0,0
CM,2020-05-08,0,0,0,0,0
CN,2020-05-08,0,0,0,0,0
CT,2020-05-08,2,1,0,1,0
EX,2020-05-08,0,0,0,0,0
GA,2020-05-08,0,0,0,0,0
IB,2020-05-08,0,0,0,0,0
MC,2020-05-08,0,0,0,0,0
MD,2020-05-08,13,13,0,0,0
ML,2020-05-08,0,0,0,0,0
NC,2020-05-08,0,0,0,0,0
PV,2020-05-08,0,0,0,0,0
RI,2020-05-08,0,0,0,0,0
VC,2020-05-08,0,0,0,0,0
AN,2020-05-09,0,0,0,0,0
AR,2020-05-09,0,0,0,0,0
AS,2020-05-09,0,0,0,0,0
CB,2020-05-09,2,2,0,0,0
CE,2020-05-09,0,0,0,0,0
CL,2020-05-09,0,0,0,0,0
CM,2020-05-09,0,0,0,0,0
CN,2020-05-09,0,0,0,0,0
CT,2020-05-09,2,2,0,0,0
EX,2020-05-09,0,0,0,0,0
GA,2020-05-09,0,0,0,0,0
IB,2020-05-09,0,0,0,0,0
MC,2020-05-09,0,0,0,0,0
MD,2020-05-09,18,18,0,0,0
ML,2020-05-09,0,0,0,0,0
NC,2020-05-09,0,0,0,0,0
PV,2020-05-09,0,0,0,0,0
RI,2020-05-09,0,0,0,0,0
VC,2020-05-09,0,0,0,0,0
AN,2020-05-10,0,0,0,0,0
AR,2020-05-10,0,0,0,0,0
AS,2020-05-10,0,0,0,0,0
CB,2020-05-10,0,0,0,0,0
CE,2020-05-10,0,0,0,0,0
CL,2020-05-10,0,0,0,0,0
CM,2020-05-10,0,0,0,0,0
CN,2020-05-10,0,0,0,0,0
CT,2020-05-10,15,15,0,0,0
EX,2020-05-10,0,0,0,0,0
GA,2020-05-10,0,0,0,0,0
IB,2020-05-10,0,0,0,0,0
MC,2020-05-10,0,0,0,0,0
MD,2020-05-10,19,19,0,0,0
ML,2020-05-10,0,0,0,0,0
NC,2020-05-10,0,0,0,0,0
PV,2020-05-10,0,0,0,0,0
RI,2020-05-10,0,0,0,0,0
VC,2020-05-10,0,0,0,0,0
AN,2020-05-11,17,17,0,0,0
AR,2020-05-11,6,5,0,1,0
AS,2020-05-11,4,4,0,0,0
CB,2020-05-11,10,9,1,0,0
CE,2020-05-11,1,1,0,0,0
CL,2020-05-11,27,27,0,0,0
CM,2020-05-11,29,25,0,4,0
CN,2020-05-11,3,3,0,0,0
CT,2020-05-11,117,87,0,30,0
EX,2020-05-11,5,5,0,0,0
GA,2020-05-11,9,9,0,0,0
IB,2020-05-11,8,8,0,0,0
MC,2020-05-11,2,2,0,0,0
MD,2020-05-11,174,173,0,1,0
ML,2020-05-11,0,0,0,0,0
NC,2020-05-11,11,11,0,0,0
PV,2020-05-11,23,23,0,0,0
RI,2020-05-11,4,4,0,0,0
VC,2020-05-11,20,20,0,0,0
AN,2020-05-12,19,19,0,0,0
AR,2020-05-12,17,17,0,0,0
AS,2020-05-12,0,0,0,0,0
CB,2020-05-12,8,7,1,0,0
CE,2020-05-12,2,2,0,0,0
CL,2020-05-12,32,30,0,2,0
CM,2020-05-12,31,28,0,3,0
CN,2020-05-12,4,4,0,0,0
CT,2020-05-12,118,91,0,27,0
EX,2020-05-12,9,7,0,2,0
GA,2020-05-12,16,15,0,1,0
IB,2020-05-12,7,7,0,0,0
MC,2020-05-12,3,3,0,0,0
MD,2020-05-12,153,153,0,0,0
ML,2020-05-12,0,0,0,0,0
NC,2020-05-12,2,2,0,0,0
PV,2020-05-12,16,16,0,0,0
RI,2020-05-12,3,3,0,0,0
VC,2020-05-12,18,18,0,0,0
AN,2020-05-13,14,14,0,0,0
AR,2020-05-13,21,21,0,0,0
AS,2020-05-13,1,1,0,0,0
CB,2020-05-13,2,2,0,0,0
CE,2020-05-13,0,0,0,0,0
CL,2020-05-13,54,53,0,1,0
CM,2020-05-13,36,34,0,2,0
CN,2020-05-13,5,5,0,0,0
CT,2020-05-13,143,109,0,34,0
EX,2020-05-13,7,6,0,1,0
GA,2020-05-13,9,9,0,0,0
IB,2020-05-13,10,10,0,0,0
MC,2020-05-13,5,5,0,0,0
MD,2020-05-13,141,141,0,0,0
ML,2020-05-13,0,0,0,0,0
NC,2020-05-13,9,9,0,0,0
PV,2020-05-13,22,22,0,0,0
RI,2020-05-13,5,5,0,0,0
VC,2020-05-13,11,11,0,0,0
AN,2020-05-14,10,10,0,0,0
AR,2020-05-14,21,21,0,0,0
AS,2020-05-14,2,2,0,0,0
CB,2020-05-14,2,2,0,0,0
CE,2020-05-14,0,0,0,0,0
CL,2020-05-14,39,38,0,1,0
CM,2020-05-14,27,25,0,2,0
CN,2020-05-14,2,2,0,0,0
CT,2020-05-14,144,98,0,46,0
EX,2020-05-14,1,1,0,0,0
GA,2020-05-14,5,5,0,0,0
IB,2020-05-14,7,7,0,0,0
MC,2020-05-14,2,2,0,0,0
MD,2020-05-14,153,153,0,0,0
ML,2020-05-14,0,0,0,0,0
NC,2020-05-14,18,18,0,0,0
PV,2020-05-14,10,10,0,0,0
RI,2020-05-14,5,5,0,0,0
VC,2020-05-14,19,19,0,0,0
AN,2020-05-15,12,12,0,0,0
AR,2020-05-15,16,16,0,0,0
AS,2020-05-15,4,4,0,0,0
CB,2020-05-15,2,2,0,0,0
CE,2020-05-15,0,0,0,0,0
CL,2020-05-15,35,33,0,2,0
CM,2020-05-15,34,32,0,2,0
CN,2020-05-15,3,3,0,0,0
CT,2020-05-15,202,162,0,40,0
EX,2020-05-15,1,1,0,0,0
GA,2020-05-15,8,7,0,1,0
IB,2020-05-15,16,15,1,0,0
MC,2020-05-15,0,0,0,0,0
MD,2020-05-15,121,121,0,0,0
ML,2020-05-15,0,0,0,0,0
NC,2020-05-15,11,11,0,0,0
PV,2020-05-15,11,11,0,0,0
RI,2020-05-15,3,3,0,0,0
VC,2020-05-15,13,13,0,0,0
AN,2020-05-16,4,3,0,1,0
AR,2020-05-16,8,7,0,0,1
AS,2020-05-16,1,1,0,0,0
CB,2020-05-16,4,4,0,0,0
CE,2020-05-16,1,1,0,0,0
CL,2020-05-16,29,28,0,1,0
CM,2020-05-16,27,25,0,2,0
CN,2020-05-16,6,6,0,0,0
CT,2020-05-16,103,103,0,0,0
EX,2020-05-16,1,1,0,0,0
GA,2020-05-16,3,3,0,0,0
IB,2020-05-16,0,0,0,0,0
MC,2020-05-16,1,1,0,0,0
MD,2020-05-16,49,49,0,0,0
ML,2020-05-16,0,0,0,0,0
NC,2020-05-16,4,4,0,0,0
PV,2020-05-16,7,7,0,0,0
RI,2020-05-16,2,2,0,0,0
VC,2020-05-16,8,8,0,0,0
AN,2020-05-17,4,4,0,0,0
AR,2020-05-17,8,8,0,0,0
AS,2020-05-17,3,3,0,0,0
CB,2020-05-17,0,0,0,0,0
CE,2020-05-17,0,0,0,0,0
CL,2020-05-17,5,5,0,0,0
CM,2020-05-17,13,10,0,3,0
CN,2020-05-17,1,1,0,0,0
CT,2020-05-17,84,84,0,0,0
EX,2020-05-17,2,2,0,0,0
GA,2020-05-17,2,2,0,0,0
IB,2020-05-17,5,5,0,0,0
MC,2020-05-17,1,1,0,0,0
MD,2020-05-17,69,69,0,0,0
ML,2020-05-17,0,0,0,0,0
NC,2020-05-17,20,20,0,0,0
PV,2020-05-17,6,6,0,0,0
RI,2020-05-17,0,0,0,0,0
VC,2020-05-17,7,7,0,0,0
AN,2020-05-18,11,11,0,0,0
AR,2020-05-18,20,17,0,0,3
AS,2020-05-18,0,0,0,0,0
CB,2020-05-18,3,3,0,0,0
CE,2020-05-18,2,2,0,0,0
CL,2020-05-18,32,32,0,0,0
CM,2020-05-18,29,25,0,4,0
CN,2020-05-18,4,4,0,0,0
CT,2020-05-18,183,146,0,36,1
EX,2020-05-18,3,3,0,0,0
GA,2020-05-18,6,6,0,0,0
IB,2020-05-18,5,5,0,0,0
MC,2020-05-18,2,2,0,0,0
MD,2020-05-18,131,131,0,0,0
ML,2020-05-18,1,1,0,0,0
NC,2020-05-18,6,6,0,0,0
PV,2020-05-18,13,13,0,0,0
RI,2020-05-18,5,5,0,0,0
VC,2020-05-18,10,10,0,0,0
AN,2020-05-19,11,11,0,0,0
AR,2020-05-19,23,23,0,0,0
AS,2020-05-19,0,0,0,0,0
CB,2020-05-19,2,2,0,0,0
CE,2020-05-19,3,3,0,0,0
CL,2020-05-19,33,33,0,0,0
CM,2020-05-19,33,28,0,5,0
CN,2020-05-19,7,7,0,0,0
CT,2020-05-19,201,151,0,50,0
