date,iso_code,nuts,name,supplier,delivered
2021-01-05,ES,ES,España,Pfizer/BioNTech,743925
2021-01-07,ES,ES,España,Pfizer/BioNTech,743925
2021-01-08,ES,ES,España,Pfizer/BioNTech,743925
2021-01-11,ES,ES,España,Pfizer/BioNTech,743925
2021-01-12,ES,ES,España,Pfizer/BioNTech,743925
2021-01-13,ES,ES,España,Pfizer/BioNTech,1103700
2021-01-14,ES,ES,España,Moderna,35700
2021-01-14,ES,ES,España,Pfizer/BioNTech,1103700
2021-01-15,ES,ES,España,Moderna,35700
2021-01-15,ES,ES,España,Pfizer/BioNTech,1103700
2021-01-18,ES,ES,España,Moderna,35700
2021-01-18,ES,ES,España,Pfizer/BioNTech,1107600
2021-01-19,ES,ES,España,Moderna,35700
2021-01-19,ES,ES,España,Pfizer/BioNTech,1107600
2021-01-20,ES,ES,España,Moderna,35700
2021-01-20,ES,ES,España,Pfizer/BioNTech,1310400
2021-01-21,ES,ES,España,Moderna,35700
2021-01-21,ES,ES,España,Pfizer/BioNTech,1310400
2021-01-22,ES,ES,España,Moderna,35700
2021-01-22,ES,ES,España,Pfizer/BioNTech,1310400
2021-01-25,ES,ES,España,Moderna,35700
2021-01-25,ES,ES,España,Pfizer/BioNTech,1310400
2021-01-26,ES,ES,España,Moderna,35700
2021-01-26,ES,ES,España,Pfizer/BioNTech,1310400
2021-01-27,ES,ES,España,Moderna,35700
2021-01-27,ES,ES,España,Pfizer/BioNTech,1733355
2021-01-28,ES,ES,España,Moderna,35700
2021-01-28,ES,ES,España,Pfizer/BioNTech,1733355
2021-01-29,ES,ES,España,Moderna,35700
2021-01-29,ES,ES,España,Pfizer/BioNTech,1733355
