date,iso_code,nuts,name,supplier,vaccinated
2021-01-18,ES,ES,España,Pfizer/BioNTech,2315
2021-01-19,ES,ES,España,Pfizer/BioNTech,9341
2021-01-20,ES,ES,España,Pfizer/BioNTech,15642
2021-01-21,ES,ES,España,Pfizer/BioNTech,49056
2021-01-22,ES,ES,España,Pfizer/BioNTech,68456
2021-01-25,ES,ES,España,Pfizer/BioNTech,88698
2021-01-26,ES,ES,España,Pfizer/BioNTech,123697
2021-01-27,ES,ES,España,Pfizer/BioNTech,173066
2021-01-28,ES,ES,España,Pfizer/BioNTech,192759
2021-01-29,ES,ES,España,Pfizer/BioNTech,251866
2021-02-01,ES,ES,España,Pfizer/BioNTech,357892
2021-02-02,ES,ES,España,Pfizer/BioNTech,418519
2021-02-03,ES,ES,España,Pfizer/BioNTech,498978
2021-02-04,ES,ES,España,Pfizer/BioNTech,586122
2021-02-05,ES,ES,España,Pfizer/BioNTech,682909
2021-02-08,ES,ES,España,Pfizer/BioNTech,786407
2021-02-09,ES,ES,España,Pfizer/BioNTech,838782
2021-02-10,ES,ES,España,Unknown,889683
2021-02-11,ES,ES,España,Unknown,943278
2021-02-12,ES,ES,España,Unknown,1000485
2021-02-15,ES,ES,España,Unknown,1070091
2021-02-16,ES,ES,España,Unknown,1096922
2021-02-17,ES,ES,España,Unknown,1119180
2021-02-18,ES,ES,España,Unknown,1144556
2021-02-19,ES,ES,España,Unknown,1171026
2021-02-22,ES,ES,España,Unknown,1197061
2021-02-23,ES,ES,España,Unknown,1208305
2021-02-24,ES,ES,España,Unknown,1221183
2021-02-25,ES,ES,España,Unknown,1231782
2021-02-26,ES,ES,España,Unknown,1243783
2021-03-01,ES,ES,España,Unknown,1261848
2021-03-02,ES,ES,España,Unknown,1266700
2021-03-03,ES,ES,España,Unknown,1287002
2021-03-04,ES,ES,España,Unknown,1308913
2021-03-05,ES,ES,España,Unknown,1342485
2021-03-08,ES,ES,España,Unknown,1383488
2021-03-09,ES,ES,España,Unknown,1412236
2021-03-10,ES,ES,España,Unknown,1447838
2021-03-11,ES,ES,España,Unknown,1503258
2021-03-12,ES,ES,España,Unknown,1583244
2021-03-15,ES,ES,España,Unknown,1693674
2021-03-16,ES,ES,España,Unknown,1728537
2021-03-17,ES,ES,España,Unknown,1804615
2021-03-18,ES,ES,España,Unknown,1886813
2021-03-22,ES,ES,España,Unknown,2110868
2021-03-23,ES,ES,España,Unknown,2156598
2021-03-24,ES,ES,España,Unknown,2271575
2021-03-25,ES,ES,España,Unknown,2387544
2021-03-29,ES,ES,España,Unknown,2599366
2021-03-30,ES,ES,España,Unknown,2639228
2021-03-31,ES,ES,España,Unknown,2716093
2021-04-01,ES,ES,España,Unknown,2792024
2021-04-03,ES,ES,España,Unknown,2836156
2021-04-05,ES,ES,España,Unknown,2847807
2021-04-06,ES,ES,España,Unknown,2897264
2021-04-07,ES,ES,España,Unknown,2936799
2021-04-08,ES,ES,España,Unknown,3015196
2021-04-09,ES,ES,España,Unknown,3066813
2021-04-12,ES,ES,España,Unknown,3103112
2021-04-13,ES,ES,España,Unknown,3130773
2021-04-14,ES,ES,España,Unknown,3179854
2021-04-15,ES,ES,España,Unknown,3248125
2021-04-16,ES,ES,España,Unknown,3323206
2021-04-19,ES,ES,España,Unknown,3406333
2021-04-20,ES,ES,España,Unknown,3446532
2021-04-21,ES,ES,España,Unknown,3605971
2021-04-22,ES,ES,España,Unknown,3762164
2021-04-23,ES,ES,España,Unknown,3856940
2021-04-26,ES,ES,España,Unknown,3941616
2021-04-27,ES,ES,España,Unknown,4015092
2021-04-28,ES,ES,España,Unknown,4160905
2021-04-29,ES,ES,España,Unknown,4407854
2021-04-30,ES,ES,España,Unknown,4681630
2021-05-03,ES,ES,España,Unknown,5090767
2021-05-04,ES,ES,España,Unknown,5193032
2021-05-05,ES,ES,España,Unknown,5385038
2021-05-06,ES,ES,España,Unknown,5687437
2021-05-07,ES,ES,España,Unknown,5947044
2021-05-10,ES,ES,España,Unknown,6212001
2021-05-11,ES,ES,España,Unknown,6317962
2021-05-12,ES,ES,España,Unknown,6493474
2021-05-13,ES,ES,España,Unknown,6706626
2021-05-14,ES,ES,España,Unknown,6967089
2021-05-17,ES,ES,España,Unknown,7204159
2021-05-18,ES,ES,España,Unknown,7313856
2021-05-19,ES,ES,España,Unknown,7459603
2021-05-20,ES,ES,España,Unknown,7687702
2021-05-21,ES,ES,España,Unknown,7855725
2021-05-24,ES,ES,España,Unknown,8120584
2021-05-25,ES,ES,España,Unknown,8240532
2021-05-26,ES,ES,España,Unknown,8423711
2021-05-27,ES,ES,España,Unknown,8603946
2021-05-28,ES,ES,España,Unknown,8793317
2021-05-31,ES,ES,España,Unknown,9209795
2021-06-01,ES,ES,España,Unknown,9393474
2021-06-02,ES,ES,España,Unknown,9667207
2021-06-03,ES,ES,España,Unknown,9966343
2021-06-04,ES,ES,España,Unknown,10243867
2021-06-07,ES,ES,España,Unknown,10988352
2021-06-08,ES,ES,España,Unknown,11243772
2021-06-10,ES,ES,España,Unknown,11873244
2021-06-11,ES,ES,España,Unknown,12227712
2021-06-14,ES,ES,España,Unknown,12788556
2021-06-15,ES,ES,España,Unknown,12980888
2021-06-16,ES,ES,España,Unknown,13271882
2021-06-17,ES,ES,España,Unknown,13609336
2021-06-18,ES,ES,España,Unknown,13904805
2021-06-21,ES,ES,España,Unknown,14394784
2021-06-22,ES,ES,España,Unknown,14706290
2021-06-23,ES,ES,España,Unknown,15094591
2021-06-24,ES,ES,España,Unknown,15555490
2021-06-25,ES,ES,España,Unknown,15846431
2021-06-28,ES,ES,España,Unknown,16560607
2021-06-29,ES,ES,España,Unknown,17037727
2021-06-30,ES,ES,España,Unknown,17467397
2021-07-01,ES,ES,España,Unknown,17936595
2021-07-02,ES,ES,España,Unknown,18403507
2021-07-05,ES,ES,España,Unknown,19071014
2021-07-06,ES,ES,España,Unknown,19463776
2021-07-07,ES,ES,España,Unknown,19914067
2021-07-08,ES,ES,España,Unknown,20459434
2021-07-09,ES,ES,España,Unknown,20928797
2021-07-12,ES,ES,España,Unknown,21718546
2021-07-13,ES,ES,España,Unknown,22067552
2021-07-14,ES,ES,España,Unknown,22439019
2021-07-15,ES,ES,España,Unknown,22875199
2021-07-16,ES,ES,España,Unknown,23297908
2021-07-19,ES,ES,España,Unknown,23965477
2021-07-20,ES,ES,España,Unknown,24268092
2021-07-21,ES,ES,España,Unknown,24623678
2021-07-22,ES,ES,España,Unknown,24983167
2021-07-23,ES,ES,España,Unknown,25320194
2021-07-26,ES,ES,España,Unknown,25865258
2021-07-27,ES,ES,España,Unknown,26071903
2021-07-28,ES,ES,España,Unknown,26340603
2021-07-29,ES,ES,España,Unknown,26615230
2021-07-30,ES,ES,España,Unknown,26853781
2021-08-02,ES,ES,España,Unknown,27181754
2021-08-03,ES,ES,España,Unknown,27356898
2021-08-04,ES,ES,España,Unknown,27731049
2021-08-05,ES,ES,España,Unknown,27953539
2021-08-06,ES,ES,España,Unknown,28174838
2021-08-09,ES,ES,España,Unknown,28506101
2021-08-11,ES,ES,España,Unknown,28911696
2021-08-12,ES,ES,España,Unknown,29139488
2021-08-13,ES,ES,España,Unknown,29444353
2021-08-16,ES,ES,España,Unknown,29711791
2021-08-17,ES,ES,España,Unknown,29885898
2021-08-18,ES,ES,España,Unknown,30178687
2021-08-19,ES,ES,España,Unknown,30482380
2021-08-20,ES,ES,España,Unknown,31008645
2021-08-23,ES,ES,España,Unknown,31359316
2021-08-24,ES,ES,España,Unknown,31565711
2021-08-25,ES,ES,España,Unknown,31842817
2021-08-27,ES,ES,España,Unknown,32370934
2021-08-30,ES,ES,España,Unknown,32723130
2021-08-31,ES,ES,España,Unknown,32907617
2021-09-01,ES,ES,España,Unknown,33287743
2021-09-02,ES,ES,España,Unknown,33568847
2021-09-03,ES,ES,España,Unknown,33850769
2021-09-06,ES,ES,España,Unknown,34181220
2021-09-07,ES,ES,España,Unknown,34329111
2021-09-08,ES,ES,España,Unknown,34650221
2021-09-09,ES,ES,España,Unknown,34814216
2021-09-10,ES,ES,España,Unknown,34980523
2021-09-13,ES,ES,España,Unknown,35211495
2021-09-14,ES,ES,España,Unknown,35324063
2021-09-15,ES,ES,España,Unknown,35482415
2021-09-16,ES,ES,España,Unknown,35599161
2021-09-17,ES,ES,España,Unknown,35695238
